number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_loss_alpha,params_loss_gamma,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
280,0.46030330657958984,2023-04-26 17:30:26.312888,2023-04-26 17:30:41.387392,0 days 00:00:15.074504,0.08406917648274452,5,0.00015004671899211067,0.005202897656416003,0.4,0.25,2,0.4391182065010071,0.450162798166275,0.46092140674591064,0.46030330657958984,PRUNED
446,0.4596722424030304,2023-04-26 18:03:23.750691,2023-04-26 18:03:29.895012,0 days 00:00:06.144321,0.08201019179521274,5,0.00010350487188452504,0.011501261606179796,0.4,0.5,2,0.44324788451194763,0.451803982257843,0.4596722424030304,,PRUNED
366,0.45962291955947876,2023-04-26 17:44:05.431732,2023-04-26 17:44:20.238520,0 days 00:00:14.806788,0.08866568713535729,5,8.955991028692674e-05,0.012119595714495638,0.4,0.25,2,0.44590693712234497,0.45211851596832275,0.4604942798614502,0.45962291955947876,PRUNED
417,0.4594646990299225,2023-04-26 17:56:44.886245,2023-04-26 17:56:50.914739,0 days 00:00:06.028494,0.04571123807083701,5,0.00012474946067879213,0.013215048511315303,0.30000000000000004,0.5,2,0.44169938564300537,0.45312944054603577,0.4594646990299225,,PRUNED
167,0.45922666788101196,2023-04-26 17:03:58.387596,2023-04-26 17:04:15.210760,0 days 00:00:16.823164,0.05814992986074362,6,0.0001684489941319973,0.007165685669642415,0.5,0.0,2,0.4407065808773041,0.45493972301483154,0.4596244692802429,0.45922666788101196,PRUNED
245,0.4590168595314026,2023-04-26 17:24:10.357672,2023-04-26 17:24:16.730178,0 days 00:00:06.372506,0.09648196821088964,5,0.00012332327023772423,0.006057890344123738,0.5,0.0,2,0.43837428092956543,0.4521341621875763,0.4590168595314026,,PRUNED
296,0.4589751362800598,2023-04-26 17:31:58.978610,2023-04-26 17:32:05.639581,0 days 00:00:06.660971,0.06345043921264096,5,0.00017505288114848366,0.005452552887084555,0.7000000000000001,0.0,3,0.4452764689922333,0.45481595396995544,0.4589751362800598,,PRUNED
227,0.45891350507736206,2023-04-26 17:19:07.917527,2023-04-26 17:19:14.255900,0 days 00:00:06.338373,0.04376012517924799,5,0.00016430953396814722,0.005710083421158344,0.5,0.25,2,0.44448164105415344,0.4557977318763733,0.45891350507736206,,PRUNED
249,0.45887815952301025,2023-04-26 17:25:25.407223,2023-04-26 17:25:31.885683,0 days 00:00:06.478460,0.07297685408615658,5,0.00013390220173826415,0.004973298579430912,0.5,0.0,2,0.43928706645965576,0.4507511854171753,0.45887815952301025,,PRUNED
462,0.4588051736354828,2023-04-26 18:05:51.095913,2023-04-26 18:05:57.127886,0 days 00:00:06.031973,0.04323749057894377,5,5.064187772689275e-05,0.004474357576947771,0.4,0.25,2,0.4450207054615021,0.45710834860801697,0.4588051736354828,,PRUNED
