number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_l1_reg,params_l2_reg,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
753,0.5694540001031927,2023-04-26 14:02:24.375156,2023-04-26 14:02:28.440862,0 days 00:00:04.065706,0.5100250513158566,0.10560419179261035,0.022600274931314,1.5004136354209965,0.24622401736061317,4,11,0.9972283557256482,0.5748079503618653,0.5722921583588771,,,COMPLETE
856,0.5694577163515225,2023-04-26 14:04:46.413023,2023-04-26 14:04:50.727367,0 days 00:00:04.314344,0.5317209910748332,0.025652408785014732,0.011599647735955562,0.2560256680719115,0.24294729219140224,5,9,0.9871926781641517,0.5758925036646113,,,,COMPLETE
745,0.569465777756689,2023-04-26 14:02:12.121034,2023-04-26 14:02:16.214699,0 days 00:00:04.093665,0.5299732525796431,0.12696028843557305,0.28840694111183857,1.5268691827227743,0.2500075504774731,4,10,0.9995611877179772,0.575652765623527,0.5749752673064983,,,COMPLETE
849,0.569693339987984,2023-04-26 14:04:35.337766,2023-04-26 14:04:39.520258,0 days 00:00:04.182492,0.5155089688916255,0.02793234224556826,0.014676715895201118,0.2818162538358709,0.23086288291694182,5,9,0.9997180603586633,0.5727552265527295,0.5750243873092022,,,COMPLETE
964,0.5698551954178762,2023-04-26 14:07:10.595319,2023-04-26 14:07:14.544613,0 days 00:00:03.949294,0.5293634431832306,0.014461242813676674,0.3505714126265599,0.291476926790909,0.253493545799663,4,7,0.94838572510008,0.5731907772261878,,,,COMPLETE
532,0.5701211551155376,2023-04-26 13:57:44.939538,2023-04-26 13:57:48.907253,0 days 00:00:03.967715,0.5119908985895302,0.16942410946489722,0.28749353328434635,1.521153679670189,0.23658785088666182,4,8,0.9545118199462137,0.5754606193209022,0.5737679839319131,,,COMPLETE
845,0.5701241394648343,2023-04-26 14:04:27.932694,2023-04-26 14:04:32.018731,0 days 00:00:04.086037,0.5182549085866279,0.09078178614497853,0.013155126279880958,0.276764393082206,0.23581768700240255,5,8,0.9999862579538242,0.5724460492625989,0.5757654044132893,,,COMPLETE
992,0.5703748453347582,2023-04-26 14:07:49.266880,2023-04-26 14:07:53.437120,0 days 00:00:04.170240,0.5288652277408555,0.019001937348772265,0.9852453028912445,1.9177867703733744,0.24643373368787835,5,10,0.947449030306249,0.5756883219808111,,,,COMPLETE
979,0.5704298665705537,2023-04-26 14:07:31.122475,2023-04-26 14:07:35.170915,0 days 00:00:04.048440,0.5102543006335353,0.017809075364504393,0.834969684700424,1.7644251033389171,0.24406834896263896,5,11,0.9386335728246827,0.5725442843253956,0.5757308461849012,,,COMPLETE
902,0.5705366286800381,2023-04-26 14:05:47.998671,2023-04-26 14:05:51.969243,0 days 00:00:03.970572,0.5208962809664525,0.03040163729644407,0.08964847668061968,0.4856211833543569,0.25318222344068764,4,9,0.8779980320189082,0.5750809489072856,0.5754771011260306,,,COMPLETE
