number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
317,0.9860061407089233,2023-04-24 17:12:55.208551,2023-04-24 17:13:12.249134,0 days 00:00:17.040583,0.016982922537603345,6,0.000333750300232616,0.007128242297668681,3,1.0079671144485474,0.9911401271820068,,,COMPLETE
318,0.9893620014190674,2023-04-24 17:13:12.249634,2023-04-24 17:13:25.840545,0 days 00:00:13.590911,0.020754172319886695,6,0.0003301465640236298,0.00783011589595547,3,0.9894586801528931,,,,COMPLETE
330,0.9899649620056152,2023-04-24 17:14:53.448623,2023-04-24 17:15:09.392009,0 days 00:00:15.943386,0.02096069838201724,4,0.00026503101271672827,0.0058773750210198115,3,1.0050296783447266,0.994337260723114,,,COMPLETE
98,0.9907183647155762,2023-04-24 16:54:54.761173,2023-04-24 16:55:11.085378,0 days 00:00:16.324205,0.026699627700874393,18,0.0002065952850821227,0.0038925873853675355,3,0.9981051683425903,,,,COMPLETE
438,0.991946280002594,2023-04-24 17:22:21.059956,2023-04-24 17:22:30.760039,0 days 00:00:09.700083,0.01039019852585034,6,0.0003495805333441785,0.007296833864259017,1,0.9988434910774231,,,,COMPLETE
156,0.992326557636261,2023-04-24 16:58:45.724729,2023-04-24 16:59:05.029468,0 days 00:00:19.304739,0.028970695934803267,20,0.0007199872701816545,0.0035787448181225116,2,0.9940968155860901,0.9924819469451904,,,COMPLETE
307,0.9931817650794983,2023-04-24 17:11:23.726477,2023-04-24 17:11:40.682263,0 days 00:00:16.955786,0.054830750853078314,6,0.0004380939429501905,0.006039442376604453,3,1.0092192888259888,1.0033199787139893,0.9969809055328369,,COMPLETE
50,0.9935434460639954,2023-04-24 16:51:40.580971,2023-04-24 16:51:52.105466,0 days 00:00:11.524495,0.04946939006647117,6,0.0002021963960203859,0.00826919663392769,2,1.0096291303634644,1.0003248453140259,0.9968186020851135,,COMPLETE
196,0.9936423897743225,2023-04-24 17:00:35.884246,2023-04-24 17:01:51.237449,0 days 00:01:15.353203,0.038601319713889644,12,0.0001446028910351305,0.004885008480980172,3,0.9987733364105225,,,,COMPLETE
85,0.9936623573303223,2023-04-24 16:54:07.173905,2023-04-24 16:54:13.873193,0 days 00:00:06.699288,0.03152871074490374,4,0.001205616468679416,0.0038740308509378494,3,1.0164977312088013,0.9936623573303223,,,PRUNED
324,0.9936861991882324,2023-04-24 17:13:59.287177,2023-04-24 17:14:17.011950,0 days 00:00:17.724773,0.023568728731210936,4,0.0002748986064565463,0.0057299430684846775,3,0.9966874122619629,,,,COMPLETE
309,0.9938494563102722,2023-04-24 17:11:47.182783,2023-04-24 17:12:10.305334,0 days 00:00:23.122551,0.0283610787039428,4,0.0003925051766014558,0.006828473930120672,3,0.998439610004425,0.9880518913269043,,,COMPLETE
304,0.9945908188819885,2023-04-24 17:10:36.032058,2023-04-24 17:11:18.423208,0 days 00:00:42.391150,0.06031593944723272,6,0.0003819468633281761,0.006732894365883542,2,1.005431056022644,1.0079588890075684,0.9949732422828674,0.9921392202377319,COMPLETE
24,0.9945930242538452,2023-04-24 16:49:15.311037,2023-04-24 16:49:32.299196,0 days 00:00:16.988159,0.029763068430061806,10,0.0009141516222129406,0.004886509865334895,3,1.010606050491333,0.9928011894226074,0.9945930242538452,,COMPLETE
351,0.9950165152549744,2023-04-24 17:16:38.174013,2023-04-24 17:16:51.362887,0 days 00:00:13.188874,0.015381661688879842,6,0.00038545407256345516,0.003942582853751273,3,0.9980941414833069,0.9950165152549744,,,PRUNED
358,0.995374321937561,2023-04-24 17:17:03.660836,2023-04-24 17:17:15.249915,0 days 00:00:11.589079,0.05108594714608195,8,0.0003506899823635164,0.00301013255334303,3,1.0162255764007568,1.0086885690689087,0.9927326440811157,0.995374321937561,PRUNED
129,0.9955578446388245,2023-04-24 16:57:34.938047,2023-04-24 16:57:41.930856,0 days 00:00:06.992809,0.02716299067704126,10,0.00017535934796490945,0.003382380019902594,3,1.0035566091537476,0.9955578446388245,,,PRUNED
380,0.9965819716453552,2023-04-24 17:18:03.483279,2023-04-24 17:18:15.282889,0 days 00:00:11.799610,0.015340476666109994,16,0.00017343904139458918,0.00572991028552452,3,1.007751703262329,0.9952419400215149,0.9965819716453552,,COMPLETE
335,0.9968085289001465,2023-04-24 17:15:51.650414,2023-04-24 17:15:57.986652,0 days 00:00:06.336238,0.013872655392610792,6,0.0002616876560258067,0.0050430277090160736,1,1.0070991516113281,0.9968085289001465,,,PRUNED
384,0.9968374371528625,2023-04-24 17:18:19.860082,2023-04-24 17:18:24.141437,0 days 00:00:04.281355,0.0491631577085598,8,0.00019684325193865647,0.004652873130323747,3,1.0060086250305176,0.9968374371528625,,,PRUNED
426,0.996921181678772,2023-04-24 17:21:17.876371,2023-04-24 17:21:29.154401,0 days 00:00:11.278030,0.008727579608235607,6,0.00023051998501052808,0.005658621598487471,2,1.0033509731292725,0.9940482974052429,0.996921181678772,,PRUNED
481,0.9969930648803711,2023-04-24 17:26:56.950815,2023-04-24 17:27:04.197394,0 days 00:00:07.246579,0.019147415141472633,6,0.00013411754140056165,0.008417196140647041,2,1.0103391408920288,0.9969930648803711,,,PRUNED
160,0.9970374703407288,2023-04-24 16:59:11.732080,2023-04-24 16:59:19.460494,0 days 00:00:07.728414,0.0416410055776908,24,0.0002423197437051423,0.004574242520827054,2,1.009755253791809,1.0039118528366089,0.9920114874839783,,COMPLETE
413,0.9970970153808594,2023-04-24 17:20:35.256484,2023-04-24 17:20:39.538817,0 days 00:00:04.282333,0.02060344138739058,6,0.00013474645294668164,0.003209476548399276,3,1.010509967803955,0.9970970153808594,,,PRUNED
486,0.9971932172775269,2023-04-24 17:27:16.639168,2023-04-24 17:27:23.594185,0 days 00:00:06.955017,0.04742877202396957,8,0.0010760753005752838,0.004380222378404373,3,1.0099983215332031,1.0064560174942017,0.9971932172775269,,PRUNED
92,0.997428297996521,2023-04-24 16:54:34.255951,2023-04-24 16:54:41.097025,0 days 00:00:06.841074,0.0388046299289591,18,0.0009589751409669659,0.0053350733569856095,3,1.0049408674240112,1.0069547891616821,0.997428297996521,,PRUNED
250,0.9974468350410461,2023-04-24 17:06:15.598519,2023-04-24 17:06:27.097135,0 days 00:00:11.498616,0.03204688104806381,14,0.0011432936827162534,0.015593816332320898,2,0.9990609288215637,,,,COMPLETE
65,0.997503936290741,2023-04-24 16:52:29.067677,2023-04-24 16:52:45.549319,0 days 00:00:16.481642,0.040022003095482823,18,0.0002714025986095864,0.0043520418629860134,3,0.993155837059021,,,,COMPLETE
421,0.9978138208389282,2023-04-24 17:21:05.751490,2023-04-24 17:21:09.875151,0 days 00:00:04.123661,0.0213372088817293,12,0.0010602547625461073,0.0035956084662897075,2,1.006316065788269,1.0111719369888306,0.9978138208389282,,PRUNED
208,0.9978798031806946,2023-04-24 17:02:49.299145,2023-04-24 17:03:07.691645,0 days 00:00:18.392500,0.036657575179495326,16,0.00012037817984488446,0.002308645237869853,3,1.0041954517364502,0.9937756061553955,0.9978798031806946,,PRUNED
10,0.997957706451416,2023-04-24 16:47:56.509165,2023-04-24 16:48:18.180066,0 days 00:00:21.670901,0.048926832279893265,4,0.00017973083011564773,0.00497646043843469,3,1.020693063735962,1.018682599067688,1.0045782327651978,0.9931136965751648,COMPLETE
221,0.9981139302253723,2023-04-24 17:04:13.788572,2023-04-24 17:04:21.656343,0 days 00:00:07.867771,0.037954456643957524,16,0.00011913419993029692,0.0029916284045872392,3,1.005539894104004,0.9981139302253723,,,PRUNED
254,0.9981729984283447,2023-04-24 17:06:48.345199,2023-04-24 17:07:05.316300,0 days 00:00:16.971101,0.034768570159643984,12,0.0008971445691464064,0.012701041715623938,2,0.9984157681465149,0.9981729984283447,,,PRUNED
111,0.9984347820281982,2023-04-24 16:56:04.923931,2023-04-24 16:56:11.271051,0 days 00:00:06.347120,0.01874132659470748,4,0.00020441411355374435,0.008556080344277546,3,1.0118803977966309,0.9984347820281982,,,PRUNED
401,0.9984732866287231,2023-04-24 17:19:32.005857,2023-04-24 17:19:43.692276,0 days 00:00:11.686419,0.019151527209633274,8,0.00018712911627701586,0.003794183062964605,3,1.003944754600525,0.994011640548706,0.9984732866287231,,PRUNED
409,0.9984822869300842,2023-04-24 17:20:18.612430,2023-04-24 17:20:32.451912,0 days 00:00:13.839482,0.021368403734958498,20,0.0011566476083833762,0.003073283392821792,3,0.9968187212944031,0.9928293824195862,,,COMPLETE
58,0.9987043142318726,2023-04-24 16:52:05.694661,2023-04-24 16:52:12.234817,0 days 00:00:06.540156,0.06181850466357728,6,0.0005014159205632907,0.006618090034500177,3,0.9994719624519348,0.9987043142318726,,,PRUNED
319,0.9990618824958801,2023-04-24 17:13:25.841045,2023-04-24 17:13:44.863125,0 days 00:00:19.022080,0.021781948886284135,6,0.0003244330196044707,0.007612132436383544,3,0.9959337115287781,0.991775393486023,0.9990618824958801,,PRUNED
28,0.9991393089294434,2023-04-24 16:49:56.703836,2023-04-24 16:50:03.138081,0 days 00:00:06.434245,0.03296426962380215,4,0.00016881534221136328,0.0038460674305826597,3,1.0035481452941895,0.9991393089294434,,,PRUNED
126,0.9993029832839966,2023-04-24 16:57:20.175323,2023-04-24 16:57:27.032323,0 days 00:00:06.857000,0.031670044064049614,24,0.0005917789455262958,0.0014699904728461485,3,1.0024412870407104,0.9993029832839966,,,PRUNED
212,0.999326229095459,2023-04-24 17:03:15.130761,2023-04-24 17:03:34.244045,0 days 00:00:19.113284,0.059293485049402087,16,0.0010033375088307794,0.0014562578137046747,3,0.9989126920700073,0.999326229095459,,,PRUNED
118,0.9995414018630981,2023-04-24 16:56:31.853716,2023-04-24 16:56:48.979025,0 days 00:00:17.125309,0.023369703422806587,8,0.0003103377470903616,0.00992469417527268,3,0.9960662126541138,0.9995414018630981,,,PRUNED
143,0.9996585845947266,2023-04-24 16:58:22.753466,2023-04-24 16:58:27.079734,0 days 00:00:04.326268,0.04528897059308597,20,0.000348789687118124,0.0026404189228455186,3,1.0099543333053589,1.004475474357605,0.9996585845947266,,PRUNED
117,0.9997726678848267,2023-04-24 16:56:24.749343,2023-04-24 16:56:31.853216,0 days 00:00:07.103873,0.016232074824979122,18,0.00018893404110820433,0.007534725872756374,3,0.9997726678848267,,,,PRUNED
128,0.9998931288719177,2023-04-24 16:57:28.203435,2023-04-24 16:57:34.937547,0 days 00:00:06.734112,0.04940014441302343,6,0.0006783095871568835,0.008448623307156159,3,1.0080074071884155,0.9998931288719177,,,PRUNED
265,1.000014305114746,2023-04-24 17:07:32.013553,2023-04-24 17:07:38.490701,0 days 00:00:06.477148,0.02773093240164623,14,0.0008148006378693063,0.01634320199273258,2,1.000014305114746,,,,PRUNED
100,1.000262975692749,2023-04-24 16:55:17.262349,2023-04-24 16:55:29.951774,0 days 00:00:12.689425,0.03716103575894979,14,0.00025206962665641394,0.0032538953086227677,3,0.9972779750823975,0.9920752048492432,,,COMPLETE
231,1.0003315210342407,2023-04-24 17:04:49.831491,2023-04-24 17:04:56.794661,0 days 00:00:06.963170,0.06506028174356751,16,0.0015856197610176156,0.0009059712795184084,3,1.0110992193222046,1.0003315210342407,,,PRUNED
427,1.0003607273101807,2023-04-24 17:21:29.154902,2023-04-24 17:21:40.872998,0 days 00:00:11.718096,0.04263580055587387,16,0.00018821169511597173,0.0025030432351585905,3,0.9931421875953674,1.0003607273101807,,,PRUNED
140,1.0003830194473267,2023-04-24 16:58:14.041049,2023-04-24 16:58:20.097784,0 days 00:00:06.056735,0.03464569787179011,14,0.0002968371209034944,0.007062202308287294,3,0.999858558177948,1.0003830194473267,,,PRUNED
