number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_loss_alpha,params_loss_gamma,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
422,0.4316955804824829,2023-04-25 17:54:50.211758,2023-04-25 17:54:54.430022,0 days 00:00:04.218264,0.0031184968619749447,14,0.002263826945888618,0.004425822794983804,0.6000000000000001,0.25,4,0.4316955804824829,,,,,PRUNED
424,0.43166694045066833,2023-04-25 17:55:16.445532,2023-04-25 17:55:19.308636,0 days 00:00:02.863104,0.007711558726881127,22,0.0008249846928163086,0.0035943312297905448,0.6000000000000001,0.25,4,0.43166694045066833,,,,,PRUNED
320,0.43163251876831055,2023-04-25 17:40:52.734459,2023-04-25 17:40:53.945867,0 days 00:00:01.211408,0.046272124482999215,16,0.0007734295257052371,0.0032707711792187197,0.6000000000000001,0.0,4,0.43163251876831055,,,,,PRUNED
74,0.4316011667251587,2023-04-25 16:36:52.823949,2023-04-25 16:37:02.420811,0 days 00:00:09.596862,0.03379855603013222,48,0.002129171609485558,0.0029670134216931185,0.30000000000000004,0.0,3,0.425226092338562,0.42588821053504944,0.4316011667251587,,,PRUNED
414,0.43149513006210327,2023-04-25 17:54:15.319018,2023-04-25 17:54:21.110298,0 days 00:00:05.791280,0.008653423835612878,16,0.0027114980043930156,0.002293209810541411,0.6000000000000001,0.5,4,0.43149513006210327,,,,,PRUNED
144,0.43135324120521545,2023-04-25 17:04:45.120095,2023-04-25 17:04:48.958071,0 days 00:00:03.837976,0.0038118872915338083,6,0.0006608645883269768,0.0163912026710465,0.5,0.25,4,0.43135324120521545,,,,,PRUNED
78,0.43127089738845825,2023-04-25 16:37:23.236682,2023-04-25 16:37:40.227551,0 days 00:00:16.990869,0.01980416095563841,56,0.0018288281068435325,0.005602015280936782,0.5,0.75,3,0.4323285222053528,,,,,COMPLETE
272,0.4312368631362915,2023-04-25 17:32:29.899548,2023-04-25 17:32:35.136741,0 days 00:00:05.237193,0.006089820725706,22,0.000578478636595405,0.005481281711377396,0.7000000000000001,0.25,4,0.4312368631362915,,,,,PRUNED
334,0.4311986565589905,2023-04-25 17:42:31.702731,2023-04-25 17:42:47.405421,0 days 00:00:15.702690,0.03412084701445969,12,0.0006919031977256549,0.0033234859136960656,0.6000000000000001,2.5,4,0.4311986565589905,,,,,PRUNED
287,0.4309791922569275,2023-04-25 17:35:07.106732,2023-04-25 17:35:08.278367,0 days 00:00:01.171635,0.0074682666718038125,26,0.00136925983121605,0.0037123526527868935,0.6000000000000001,1.5,4,0.4309791922569275,,,,,PRUNED
203,0.43089568614959717,2023-04-25 17:19:44.008779,2023-04-25 17:19:45.202070,0 days 00:00:01.193291,0.013497838552245792,12,0.000775637684684415,0.003232288225401061,0.6000000000000001,0.0,4,0.43089568614959717,,,,,PRUNED
168,0.4307712912559509,2023-04-25 17:11:52.783700,2023-04-25 17:11:54.044366,0 days 00:00:01.260666,0.0010809642685024488,28,0.000697949064865331,0.0021111276805983086,0.6000000000000001,0.0,4,0.4307712912559509,,,,,PRUNED
410,0.43076592683792114,2023-04-25 17:54:06.377861,2023-04-25 17:54:07.828970,0 days 00:00:01.451109,0.0056749795818196586,14,0.0007218963624448458,0.016042217734796155,0.6000000000000001,0.25,4,0.43076592683792114,,,,,PRUNED
249,0.4304984509944916,2023-04-25 17:28:23.716972,2023-04-25 17:28:26.280514,0 days 00:00:02.563542,0.0028628786524380135,18,0.0008457945745798421,0.0038065678779990457,0.6000000000000001,0.0,4,0.4304984509944916,,,,,PRUNED
56,0.4304940104484558,2023-04-25 16:31:19.124210,2023-04-25 16:31:37.946404,0 days 00:00:18.822194,0.023740514219314765,60,0.0021387950646844086,0.0020005641689592635,0.5,1.0,3,0.4297301769256592,0.43099597096443176,0.43020737171173096,,,COMPLETE
463,0.4304286241531372,2023-04-25 17:59:25.585309,2023-04-25 17:59:27.852016,0 days 00:00:02.266707,0.05813351626124553,22,0.0015356923077018956,0.0013675601643626872,0.6000000000000001,0.0,4,0.4304286241531372,,,,,PRUNED
492,0.43042242527008057,2023-04-25 18:03:02.462802,2023-04-25 18:03:06.347590,0 days 00:00:03.884788,0.00449085838112275,18,0.0005354638024840384,0.01309151996880087,0.6000000000000001,0.25,4,0.44332873821258545,0.43042242527008057,,,,PRUNED
149,0.43012332916259766,2023-04-25 17:05:25.218940,2023-04-25 17:05:29.125749,0 days 00:00:03.906809,0.006012723625397273,16,0.0006443754443210999,0.002554261282881664,0.7000000000000001,0.5,4,0.43012332916259766,,,,,PRUNED
385,0.43010425567626953,2023-04-25 17:50:16.104615,2023-04-25 17:50:19.164944,0 days 00:00:03.060329,0.0025877684139911346,20,0.0005257562192233055,0.004820786019769447,0.6000000000000001,0.25,4,0.43010425567626953,,,,,PRUNED
176,0.42982035875320435,2023-04-25 17:13:57.808916,2023-04-25 17:13:59.915302,0 days 00:00:02.106386,0.004842232860044764,16,0.0005374552479196045,0.0030710787374888656,0.5,0.0,4,0.42982035875320435,,,,,PRUNED
346,0.4297791123390198,2023-04-25 17:44:06.003260,2023-04-25 17:44:07.684891,0 days 00:00:01.681631,0.004430796161101704,14,0.0012537074612842599,0.0035073259698657727,0.6000000000000001,0.25,4,0.4297791123390198,,,,,PRUNED
396,0.42961353063583374,2023-04-25 17:51:57.205166,2023-04-25 17:51:59.415467,0 days 00:00:02.210301,0.024863991406719684,22,0.0006666374273046323,0.0016881687491064074,0.6000000000000001,0.0,4,0.42961353063583374,,,,,PRUNED
427,0.4295990467071533,2023-04-25 17:55:34.006792,2023-04-25 17:55:43.495846,0 days 00:00:09.489054,0.030106323594575865,14,0.0005676623341973428,0.00510382475616495,0.6000000000000001,3.25,4,0.4295990467071533,,,,,PRUNED
259,0.42950040102005005,2023-04-25 17:29:50.084477,2023-04-25 17:29:53.246750,0 days 00:00:03.162273,0.03568006711931781,24,0.0005832431142356476,0.0005411348464864845,0.5,0.5,4,0.42950040102005005,,,,,PRUNED
24,0.429146945476532,2023-04-25 16:26:15.154263,2023-04-25 16:26:39.499658,0 days 00:00:24.345395,0.03560515611472168,56,0.002204591200622964,0.0006268850307367037,0.5,1.75,2,0.42731061577796936,0.43025290966033936,,,,COMPLETE
450,0.4291398227214813,2023-04-25 17:58:33.905615,2023-04-25 17:58:36.463225,0 days 00:00:02.557610,0.0713443619039521,14,0.0006682614433057525,0.002993552892648313,0.6000000000000001,0.5,4,0.4291398227214813,,,,,PRUNED
121,0.42911088466644287,2023-04-25 16:56:19.395038,2023-04-25 16:56:23.499585,0 days 00:00:04.104547,0.0030276570708199207,14,0.0006916111783492383,0.006283416754877399,0.6000000000000001,0.25,4,0.4402405619621277,0.42911088466644287,,,,PRUNED
193,0.42901211977005005,2023-04-25 17:17:47.205250,2023-04-25 17:17:48.464243,0 days 00:00:01.258993,0.0064163909799017545,14,0.0006015624190632008,0.0031327539325834717,0.5,0.0,4,0.42901211977005005,,,,,PRUNED
420,0.4289734363555908,2023-04-25 17:54:47.319254,2023-04-25 17:54:48.544494,0 days 00:00:01.225240,0.033554394140106865,24,0.0009555795239855758,0.0014784236041495784,0.6000000000000001,0.25,4,0.4289734363555908,,,,,PRUNED
498,0.42896223068237305,2023-04-25 18:04:45.967713,2023-04-25 18:04:48.060918,0 days 00:00:02.093205,0.009856396747634654,24,0.0017463555104419595,0.009004350482183968,0.6000000000000001,0.0,4,0.42896223068237305,,,,,PRUNED
448,0.4288014769554138,2023-04-25 17:58:12.725723,2023-04-25 17:58:22.893694,0 days 00:00:10.167971,0.0029863343052154907,20,0.004786961749250578,0.019833482177663807,0.6000000000000001,0.25,4,0.4288014769554138,,,,,PRUNED
369,0.42879390716552734,2023-04-25 17:47:41.341751,2023-04-25 17:47:44.402663,0 days 00:00:03.060912,0.03046145254779358,14,0.0009011339099729877,0.01426863827554219,0.6000000000000001,0.0,4,0.42879390716552734,,,,,PRUNED
309,0.42879384756088257,2023-04-25 17:38:47.289077,2023-04-25 17:39:00.667421,0 days 00:00:13.378344,0.0099585049775266,16,0.0058102919541068365,0.015300572845659017,0.6000000000000001,0.0,4,0.42879384756088257,,,,,PRUNED
400,0.4287716746330261,2023-04-25 17:52:13.205215,2023-04-25 17:52:19.238957,0 days 00:00:06.033742,0.0073079458892682326,20,0.0013886182000052655,0.0005327770364550177,0.6000000000000001,0.0,2,0.4287716746330261,,,,,PRUNED
112,0.4287589490413666,2023-04-25 16:50:49.525031,2023-04-25 16:50:53.374071,0 days 00:00:03.849040,0.0044648016874046514,12,0.0007709041717719554,0.0005042678120150603,0.6000000000000001,0.0,4,0.4287589490413666,,,,,PRUNED
104,0.4287250339984894,2023-04-25 16:47:58.112056,2023-04-25 16:48:00.293166,0 days 00:00:02.181110,0.014134868568440562,8,0.001000170168239109,0.0032133199503833953,0.7000000000000001,0.0,4,0.4287250339984894,,,,,PRUNED
376,0.42823711037635803,2023-04-25 17:48:29.328572,2023-04-25 17:48:31.749857,0 days 00:00:02.421285,0.08675659814921816,12,0.0006404786510158415,0.006158808832563603,0.6000000000000001,0.25,4,0.42823711037635803,,,,,PRUNED
160,0.4280637204647064,2023-04-25 17:09:59.596040,2023-04-25 17:10:03.657473,0 days 00:00:04.061433,0.002969921160191075,24,0.0005064360959557365,0.006074822887524693,0.5,0.5,4,0.44902607798576355,0.4280637204647064,,,,PRUNED
209,0.42803624272346497,2023-04-25 17:20:56.823592,2023-04-25 17:21:00.539214,0 days 00:00:03.715622,0.009423981451409822,16,0.000634461729142729,0.0032318625970557922,0.6000000000000001,0.0,4,0.42803624272346497,,,,,PRUNED
464,0.42798981070518494,2023-04-25 17:59:27.853016,2023-04-25 17:59:31.411300,0 days 00:00:03.558284,0.0026782487978018426,12,0.004450114199645163,0.0024709845090399524,0.6000000000000001,1.0,4,0.42798981070518494,,,,,PRUNED
124,0.4279102683067322,2023-04-25 16:57:21.135102,2023-04-25 16:57:24.083344,0 days 00:00:02.948242,0.0037063421638756484,14,0.0006091518674123015,0.0050674435380833865,0.6000000000000001,0.25,4,0.4279102683067322,,,,,PRUNED
274,0.4278654456138611,2023-04-25 17:32:47.610001,2023-04-25 17:32:50.210481,0 days 00:00:02.600480,0.05901389111028208,20,0.001117877052229097,0.002232852274954259,0.6000000000000001,0.5,4,0.4278654456138611,,,,,PRUNED
460,0.427687406539917,2023-04-25 17:59:15.948800,2023-04-25 17:59:18.284311,0 days 00:00:02.335511,0.007280081894043335,16,0.0005782811989609019,0.00427436599126258,0.6000000000000001,0.25,4,0.427687406539917,,,,,PRUNED
281,0.4276321828365326,2023-04-25 17:34:06.371574,2023-04-25 17:34:10.748735,0 days 00:00:04.377161,0.009226412511946157,14,0.0010369066735392706,0.0015076036749053293,0.6000000000000001,0.25,4,0.4276321828365326,,,,,PRUNED
304,0.42745280265808105,2023-04-25 17:38:29.104776,2023-04-25 17:38:32.514527,0 days 00:00:03.409751,0.017031564589133776,12,0.0016893261131425072,0.013870133470721798,0.6000000000000001,0.0,4,0.42745280265808105,,,,,PRUNED
302,0.4274088740348816,2023-04-25 17:38:22.287409,2023-04-25 17:38:24.387856,0 days 00:00:02.100447,0.015326511101211263,14,0.0005255686877966261,0.0032378883000165693,0.6000000000000001,0.25,4,0.4274088740348816,,,,,PRUNED
263,0.4273632764816284,2023-04-25 17:31:07.207193,2023-04-25 17:31:08.519867,0 days 00:00:01.312674,0.032848935951223374,16,0.0012804093497257155,0.00329387895826009,0.5,0.0,4,0.4273632764816284,,,,,PRUNED
185,0.427057683467865,2023-04-25 17:15:51.919543,2023-04-25 17:15:53.514080,0 days 00:00:01.594537,0.0051969108731948115,14,0.0005521786941068598,0.0016175641292611963,0.6000000000000001,0.25,4,0.427057683467865,,,,,PRUNED
50,0.4270474314689636,2023-04-25 16:30:21.149506,2023-04-25 16:30:39.947201,0 days 00:00:18.797695,0.01883616601130651,50,0.0022694011843368183,0.002183413552572209,0.9,1.25,3,0.42665696144104004,0.4269337058067322,0.43071097135543823,,,COMPLETE
101,0.42704299092292786,2023-04-25 16:47:13.608296,2023-04-25 16:47:17.525158,0 days 00:00:03.916862,0.01128870147045536,16,0.0008687757025309227,0.007398634489738766,0.7000000000000001,0.25,4,0.4360307455062866,0.42704299092292786,,,,PRUNED
371,0.42682674527168274,2023-04-25 17:47:45.791290,2023-04-25 17:47:47.619249,0 days 00:00:01.827959,0.006935972492658661,12,0.0006031209334356657,0.004215110895718183,0.9,0.0,4,0.42682674527168274,,,,,PRUNED
353,0.4266587197780609,2023-04-25 17:45:18.115921,2023-04-25 17:45:19.301235,0 days 00:00:01.185314,0.018967210967583595,14,0.0011332683452964984,0.004124624059941574,0.6000000000000001,0.25,4,0.4266587197780609,,,,,PRUNED
108,0.42657163739204407,2023-04-25 16:49:17.180202,2023-04-25 16:49:20.801939,0 days 00:00:03.621737,0.012193985730467614,2,0.0009966737515134717,0.0014094613011304941,0.7000000000000001,0.0,4,0.42657163739204407,,,,,PRUNED
496,0.4265400469303131,2023-04-25 18:04:34.453860,2023-04-25 18:04:42.330970,0 days 00:00:07.877110,0.011943450898169918,26,0.0006603256905062037,0.012413334641969052,0.7000000000000001,0.0,4,0.4409407377243042,0.4265400469303131,,,,PRUNED
23,0.42646393179893494,2023-04-25 16:25:57.907686,2023-04-25 16:26:15.153763,0 days 00:00:17.246077,0.03823456303072765,36,0.001942988848064834,0.005654103051455898,0.5,1.75,1,0.42119038105010986,0.4273652136325836,,,,COMPLETE
178,0.4263421893119812,2023-04-25 17:14:15.164451,2023-04-25 17:14:17.004270,0 days 00:00:01.839819,0.0013875691917498707,14,0.000743968598562826,0.0060553856926488115,0.6000000000000001,4.0,4,0.4263421893119812,,,,,PRUNED
412,0.42631441354751587,2023-04-25 17:54:10.183322,2023-04-25 17:54:11.877248,0 days 00:00:01.693926,0.003102330715618475,20,0.007786061218162669,0.0039947110469050005,0.6000000000000001,0.25,4,0.42631441354751587,,,,,PRUNED
36,0.42621874809265137,2023-04-25 16:28:40.909428,2023-04-25 16:28:48.213133,0 days 00:00:07.303705,0.024864894976715093,54,0.0021833112552596574,0.003584130276528636,0.4,2.0,2,0.4179806411266327,0.4224458634853363,0.42621874809265137,,,PRUNED
307,0.4261338710784912,2023-04-25 17:38:39.625444,2023-04-25 17:38:41.270947,0 days 00:00:01.645503,0.007367569198999986,24,0.002886819767357622,0.0013759574743108572,0.6000000000000001,0.0,4,0.4261338710784912,,,,,PRUNED
499,0.42600223422050476,2023-04-25 18:04:48.061917,2023-04-25 18:04:50.047845,0 days 00:00:01.985928,0.015095552352945513,34,0.003913617352863864,0.002864768356991826,0.6000000000000001,0.0,4,0.42600223422050476,,,,,PRUNED
41,0.4259236752986908,2023-04-25 16:29:21.782108,2023-04-25 16:29:38.640198,0 days 00:00:16.858090,0.027274943270027857,56,0.0029207044639273493,0.002873177801649905,0.5,0.75,3,0.423910915851593,0.42851710319519043,,,,COMPLETE
332,0.4258508086204529,2023-04-25 17:42:19.380497,2023-04-25 17:42:23.486814,0 days 00:00:04.106317,0.022832946310392975,88,0.0006434647299980617,0.0036273147534570836,0.5,3.5,4,0.4258508086204529,,,,,PRUNED
362,0.4256494641304016,2023-04-25 17:46:53.235744,2023-04-25 17:46:56.270075,0 days 00:00:03.034331,0.04572055132368014,10,0.0008035427374851848,0.01977516071138451,0.5,0.25,4,0.4256494641304016,,,,,PRUNED
