number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
74,1.0260212421417236,2023-04-25 13:47:42.442427,2023-04-25 13:47:43.917731,0 days 00:00:01.475304,0.004322081287981767,12,0.00017109601663446532,0.01023330756162326,4,1.0260212421417236,,,,PRUNED
71,1.0261660814285278,2023-04-25 13:47:36.284208,2023-04-25 13:47:37.730722,0 days 00:00:01.446514,0.0033901529464535505,14,0.00021871067812122313,0.007827091779470493,4,1.0261660814285278,,,,PRUNED
22,1.026556372642517,2023-04-25 13:43:18.041913,2023-04-25 13:43:19.454635,0 days 00:00:01.412722,0.004625077845008633,8,0.00024571861565821047,0.00671706971548326,3,1.026556372642517,,,,PRUNED
65,1.0268633365631104,2023-04-25 13:47:17.072605,2023-04-25 13:47:23.789165,0 days 00:00:06.716560,0.006607817255089631,16,0.00032552007023010904,0.007868180360882014,4,1.0268633365631104,,,,PRUNED
149,1.0272347927093506,2023-04-25 13:52:55.749453,2023-04-25 13:52:57.237158,0 days 00:00:01.487705,0.006529987151389963,20,0.0005989704215382108,0.007189037511343404,3,1.0272347927093506,,,,PRUNED
91,1.027499794960022,2023-04-25 13:48:54.700483,2023-04-25 13:48:56.208340,0 days 00:00:01.507857,0.006067717709171279,26,0.00010118522403785816,0.005591482975285696,4,1.027499794960022,,,,PRUNED
193,1.0276600122451782,2023-04-25 13:55:58.826335,2023-04-25 13:56:00.430165,0 days 00:00:01.603830,0.004346856670246296,14,0.0005122846944016383,0.012709617672675286,4,1.0276600122451782,,,,PRUNED
207,1.0277012586593628,2023-04-25 13:57:02.441603,2023-04-25 13:57:09.720991,0 days 00:00:07.279388,0.003771961937150144,14,0.00021653907238687923,0.012935768000044428,4,1.006680965423584,1.0039159059524536,1.0277012586593628,,PRUNED
19,1.0280061960220337,2023-04-25 13:43:12.306649,2023-04-25 13:43:13.324933,0 days 00:00:01.018284,0.005907694443595219,6,0.0004395147619184612,0.007263980816171977,2,1.0280061960220337,,,,PRUNED
21,1.028164267539978,2023-04-25 13:43:16.261071,2023-04-25 13:43:18.041413,0 days 00:00:01.780342,0.006001146787495866,4,0.00035133332992077533,0.01061209333558296,3,1.028164267539978,,,,PRUNED
167,1.0287328958511353,2023-04-25 13:53:42.219070,2023-04-25 13:53:43.462200,0 days 00:00:01.243130,0.0042462336569922265,26,0.00018643981468170713,0.010609110106667333,4,1.0287328958511353,,,,PRUNED
235,1.029434323310852,2023-04-25 13:59:11.085965,2023-04-25 13:59:12.579533,0 days 00:00:01.493568,0.006046404586203616,10,0.00012121593016746559,0.02899116360617781,4,1.029434323310852,,,,PRUNED
49,1.029672622680664,2023-04-25 13:46:21.444273,2023-04-25 13:46:23.909912,0 days 00:00:02.465639,0.005269659171838425,22,0.0005031741153023119,0.0038139346485458244,3,1.007338523864746,1.029672622680664,,,PRUNED
205,1.0297552347183228,2023-04-25 13:56:43.640727,2023-04-25 13:56:45.068432,0 days 00:00:01.427705,0.0031709264906050684,16,0.0007580615242031971,0.0036253844508850252,3,1.0297552347183228,,,,PRUNED
73,1.0300419330596924,2023-04-25 13:47:39.732275,2023-04-25 13:47:42.441928,0 days 00:00:02.709653,0.005428509092112939,2,0.0002703648622706884,0.006836151839432068,4,1.0300419330596924,,,,PRUNED
139,1.0302530527114868,2023-04-25 13:52:23.323585,2023-04-25 13:52:24.880925,0 days 00:00:01.557340,0.007099892692194496,20,0.0002469929209857861,0.0064009735904527664,4,1.0302530527114868,,,,PRUNED
152,1.030979037284851,2023-04-25 13:53:00.211645,2023-04-25 13:53:02.927955,0 days 00:00:02.716310,0.0033488547943495285,22,0.0010259322694876696,0.012339184589748054,4,1.030979037284851,,,,PRUNED
104,1.0311278104782104,2023-04-25 13:50:03.068156,2023-04-25 13:50:04.481340,0 days 00:00:01.413184,0.006145938198260094,8,0.00017169779301211318,0.0057023902854067745,4,1.0311278104782104,,,,PRUNED
242,1.0311673879623413,2023-04-25 13:59:36.220648,2023-04-25 13:59:37.514709,0 days 00:00:01.294061,0.004395525206816957,24,0.0001419911728617769,0.002728902457192572,4,1.0311673879623413,,,,PRUNED
24,1.0313183069229126,2023-04-25 13:43:21.448893,2023-04-25 13:43:28.416492,0 days 00:00:06.967599,0.00498731759708264,12,0.0003789617941795345,0.005063606053162677,2,1.0078575611114502,1.0313183069229126,,,PRUNED
176,1.031498908996582,2023-04-25 13:54:25.982051,2023-04-25 13:54:27.370037,0 days 00:00:01.387986,0.006674390441767436,24,0.0001200464636999037,0.005752608290856501,4,1.031498908996582,,,,PRUNED
218,1.0318306684494019,2023-04-25 13:57:51.473233,2023-04-25 13:57:53.359510,0 days 00:00:01.886277,0.005287842738070192,4,0.00028570486396886624,0.005132109048991661,4,1.0318306684494019,,,,PRUNED
102,1.0323395729064941,2023-04-25 13:50:00.015884,2023-04-25 13:50:01.807474,0 days 00:00:01.791590,0.005971926868767293,24,0.0002064795373120278,0.0023072750262415204,4,1.0323395729064941,,,,PRUNED
53,1.0330371856689453,2023-04-25 13:46:39.662424,2023-04-25 13:46:41.136028,0 days 00:00:01.473604,0.005471938562801877,12,0.0002900119215714222,0.0010388334323231958,4,1.0330371856689453,,,,PRUNED
94,1.033171534538269,2023-04-25 13:48:59.141656,2023-04-25 13:49:00.413613,0 days 00:00:01.271957,0.005904557897213898,20,0.00017759576476844774,0.008380446295994588,4,1.033171534538269,,,,PRUNED
168,1.0331907272338867,2023-04-25 13:53:43.463204,2023-04-25 13:53:46.360081,0 days 00:00:02.896877,0.0036379139785747724,14,0.0006548470140279185,0.013457722417219705,3,1.0014554262161255,1.0331907272338867,,,PRUNED
107,1.0336499214172363,2023-04-25 13:50:17.241726,2023-04-25 13:50:18.462328,0 days 00:00:01.220602,0.004470101420942367,28,0.0002943043874942288,0.006335603737456131,3,1.0336499214172363,,,,PRUNED
68,1.0337233543395996,2023-04-25 13:47:29.629721,2023-04-25 13:47:32.249442,0 days 00:00:02.619721,0.005687364222817384,8,0.0002417256721812738,0.0023598146707862104,3,1.0103834867477417,1.0337233543395996,,,PRUNED
222,1.0343611240386963,2023-04-25 13:58:02.586834,2023-04-25 13:58:05.454681,0 days 00:00:02.867847,0.004620679759386707,12,0.0001205935163046584,0.0021327492407067178,4,1.0343611240386963,,,,PRUNED
28,1.0348944664001465,2023-04-25 13:43:59.448909,2023-04-25 13:44:02.126562,0 days 00:00:02.677653,0.007450518640295169,28,0.00020784005920427821,0.010592959320580676,3,1.0348944664001465,,,,PRUNED
123,1.0357959270477295,2023-04-25 13:51:23.534421,2023-04-25 13:51:29.643470,0 days 00:00:06.109049,0.007638262391341078,26,0.00031157831225223174,0.011389262688234975,3,1.0357959270477295,,,,PRUNED
134,1.0359688997268677,2023-04-25 13:51:56.281203,2023-04-25 13:51:59.058500,0 days 00:00:02.777297,0.006461494432844742,2,0.0004051750826239782,0.013406902482104702,4,1.0359688997268677,,,,PRUNED
203,1.0366339683532715,2023-04-25 13:56:39.447869,2023-04-25 13:56:40.600393,0 days 00:00:01.152524,0.0012250421876970178,24,0.00041736739015538996,0.005145316104470592,3,1.0366339683532715,,,,PRUNED
90,1.0372287034988403,2023-04-25 13:48:52.049951,2023-04-25 13:48:54.699983,0 days 00:00:02.650032,0.006652266419559712,10,0.00012137265927340701,0.003893800063242751,2,1.0144134759902954,1.0372287034988403,,,PRUNED
96,1.0373390913009644,2023-04-25 13:49:02.053848,2023-04-25 13:49:04.536709,0 days 00:00:02.482861,0.006558685975856202,30,0.00031822097736108516,0.004241686985731951,4,1.0122790336608887,1.0373390913009644,,,PRUNED
