number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
409,0.5717440574625706,2023-05-02 14:28:46.174461,2023-05-02 14:28:47.226186,0 days 00:00:01.051725,0.03193957738993627,0.0020881203581913366,0.5717440574625706,,,,PRUNED
327,0.571744594814746,2023-05-02 14:26:58.461966,2023-05-02 14:26:59.711266,0 days 00:00:01.249300,0.000182137050122494,0.0015846275433795839,0.571744594814746,,,,PRUNED
71,0.5717483442161206,2023-05-02 14:19:11.682559,2023-05-02 14:19:12.861610,0 days 00:00:01.179051,0.07352190129724287,0.0022471727944066307,0.5722210013322317,0.5718296346599863,0.5717483442161206,,PRUNED
366,0.571749204053477,2023-05-02 14:27:46.878896,2023-05-02 14:27:47.949034,0 days 00:00:01.070138,0.056018066152099505,0.0024857569877006183,0.572076865873307,0.571749204053477,,,PRUNED
268,0.5717543478254632,2023-05-02 14:25:41.666130,2023-05-02 14:25:42.705235,0 days 00:00:01.039105,0.04849786934034565,0.0026603730223477558,0.5720363459170286,0.5717543478254632,,,PRUNED
326,0.5717604906618159,2023-05-02 14:26:57.406775,2023-05-02 14:26:58.461466,0 days 00:00:01.054691,0.0477945263466101,0.002397637957151386,0.5722034013742122,0.5717604906618159,,,PRUNED
427,0.5717720728145045,2023-05-02 14:29:12.134363,2023-05-02 14:29:13.183638,0 days 00:00:01.049275,0.0006093610174834506,0.0017927914383737515,0.5717720728145045,,,,PRUNED
450,0.571775874124546,2023-05-02 14:29:46.409493,2023-05-02 14:29:47.598306,0 days 00:00:01.188813,0.019976890894100544,0.0016506993208078333,0.571775874124546,,,,PRUNED
62,0.5717813828987189,2023-05-02 14:18:59.095133,2023-05-02 14:19:00.282487,0 days 00:00:01.187354,0.035617380976780084,0.002966256121278125,0.572057562567546,0.5718084381046049,0.5717813828987189,,PRUNED
249,0.5717817376195494,2023-05-02 14:25:15.140546,2023-05-02 14:25:16.216922,0 days 00:00:01.076376,0.01906100213333633,0.003096722738044937,0.5720304406354588,0.5717817376195494,,,PRUNED
306,0.571786434797206,2023-05-02 14:26:32.838497,2023-05-02 14:26:33.891221,0 days 00:00:01.052724,0.017577479045073577,0.003123154902805957,0.572032908323754,0.571786434797206,,,PRUNED
262,0.5717904994435677,2023-05-02 14:25:35.283609,2023-05-02 14:25:36.301315,0 days 00:00:01.017706,0.06452406378403523,0.0023868499004535758,0.5721531779400679,0.5717904994435677,,,PRUNED
345,0.5717990681061756,2023-05-02 14:27:21.694167,2023-05-02 14:27:22.926358,0 days 00:00:01.232191,0.056555593078809585,0.002731892160143636,0.5717990681061756,,,,PRUNED
371,0.5718012605037351,2023-05-02 14:27:55.489918,2023-05-02 14:27:56.697325,0 days 00:00:01.207407,0.048140175936270145,0.0028229193299629573,0.5718012605037351,,,,PRUNED
287,0.5718043023337451,2023-05-02 14:26:08.842084,2023-05-02 14:26:10.079339,0 days 00:00:01.237255,0.03434122143621565,0.001699073569611005,0.5718043023337451,,,,PRUNED
237,0.5718062841946974,2023-05-02 14:24:55.957889,2023-05-02 14:24:57.002619,0 days 00:00:01.044730,0.04417981992175388,0.00284549856341011,0.572046334717155,0.5718062841946974,,,PRUNED
297,0.5718089307475875,2023-05-02 14:26:23.007835,2023-05-02 14:26:24.060532,0 days 00:00:01.052697,0.03489473450476629,0.002017793311693107,0.5718089307475875,,,,PRUNED
155,0.5718096744872518,2023-05-02 14:22:09.970102,2023-05-02 14:22:11.155319,0 days 00:00:01.185217,0.017779588832649205,0.003170740025023606,0.5718164054412291,0.5718096744872518,,,PRUNED
461,0.5718149385754879,2023-05-02 14:29:58.612650,2023-05-02 14:29:59.636875,0 days 00:00:01.024225,0.06759597656641356,0.0025376873189354135,0.5718149385754879,,,,PRUNED
322,0.571818922890948,2023-05-02 14:26:53.177257,2023-05-02 14:26:54.361248,0 days 00:00:01.183991,0.041008302547261385,0.002946187445590193,0.571818922890948,,,,PRUNED
432,0.571819159431808,2023-05-02 14:29:20.945001,2023-05-02 14:29:22.033320,0 days 00:00:01.088319,0.06589173599275575,0.002587317868515189,0.571819159431808,,,,PRUNED
159,0.5718256298559097,2023-05-02 14:22:14.173478,2023-05-02 14:22:15.252757,0 days 00:00:01.079279,0.03298209268314407,0.001846003101152676,0.572339841754501,0.5718256298559097,,,PRUNED
