number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,user_attrs_n_epochs,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
98,0.7430935284719113,2023-07-10 14:28:49.144430,2023-07-10 14:28:50.293570,0 days 00:00:01.149140,0.11545012483608574,0.0004514040129121188,,0.7430935284719113,,,,PRUNED
85,0.7431769042468369,2023-07-10 14:28:21.984852,2023-07-10 14:28:23.356346,0 days 00:00:01.371494,0.07792309820478513,0.0011098668943237077,,0.7431769042468369,,,,PRUNED
333,0.7432135751615286,2023-07-10 14:36:04.132201,2023-07-10 14:36:05.249518,0 days 00:00:01.117317,0.44766342301786616,0.00037551871825108164,,0.7432135751615286,,,,PRUNED
18,0.7432220852334056,2023-07-10 14:26:25.613523,2023-07-10 14:26:26.863451,0 days 00:00:01.249928,0.14209175226607537,7.786310259288378e-05,,0.7432220852334056,,,,PRUNED
246,0.7432566315720655,2023-07-10 14:33:39.407721,2023-07-10 14:33:40.596567,0 days 00:00:01.188846,0.31299527188368753,0.0004184542301303179,,0.7432566315720655,,,,PRUNED
75,0.7432604495586999,2023-07-10 14:28:02.045661,2023-07-10 14:28:03.275305,0 days 00:00:01.229644,0.19078364103976173,0.0005658084665014324,,0.7432604495586999,,,,PRUNED
334,0.7432822255899496,2023-07-10 14:36:05.250018,2023-07-10 14:36:06.384401,0 days 00:00:01.134383,0.2524259712765995,0.00030838686342418784,,0.7432822255899496,,,,PRUNED
287,0.7433095782198615,2023-07-10 14:34:52.316561,2023-07-10 14:34:53.482690,0 days 00:00:01.166129,0.10956752328329387,0.00044141180854898943,,0.7433095782198615,,,,PRUNED
362,0.7433211919931411,2023-07-10 14:36:54.742855,2023-07-10 14:36:55.875992,0 days 00:00:01.133137,0.17861143352992023,0.0006734324982684965,,0.7433211919931411,,,,PRUNED
346,0.743341384787858,2023-07-10 14:36:23.760961,2023-07-10 14:36:25.014833,0 days 00:00:01.253872,0.1181453092970193,0.00018214362140928837,,0.743341384787858,,,,PRUNED
290,0.7433546478601535,2023-07-10 14:34:59.535488,2023-07-10 14:35:00.661688,0 days 00:00:01.126200,0.15106279152846203,0.0005937632895766698,,0.7433546478601535,,,,PRUNED
243,0.7433770679499047,2023-07-10 14:33:32.249688,2023-07-10 14:33:33.394358,0 days 00:00:01.144670,0.23290166389437728,0.00033498157741400814,,0.7433770679499047,,,,PRUNED
217,0.7433835156011068,2023-07-10 14:32:48.374912,2023-07-10 14:32:49.557645,0 days 00:00:01.182733,0.12220965372116846,0.00031414603154112384,,0.7433835156011068,,,,PRUNED
480,0.7433841667103444,2023-07-10 14:39:45.491208,2023-07-10 14:39:46.646536,0 days 00:00:01.155328,0.12040067296016937,0.0003653169077339468,,0.7433841667103444,,,,PRUNED
318,0.7433890717640206,2023-07-10 14:35:44.863709,2023-07-10 14:35:46.136575,0 days 00:00:01.272866,0.2082592530923814,0.00030121542624606657,,0.7433890717640206,,,,PRUNED
280,0.7434177245355976,2023-07-10 14:34:44.033633,2023-07-10 14:34:45.233811,0 days 00:00:01.200178,0.12158909962541051,0.00018101864386300563,,0.7434177245355976,,,,PRUNED
381,0.743439049603782,2023-07-10 14:37:21.429044,2023-07-10 14:37:22.676854,0 days 00:00:01.247810,0.14492737437821898,0.000180237625134756,,0.743439049603782,,,,PRUNED
300,0.7434623649127803,2023-07-10 14:35:11.818799,2023-07-10 14:35:12.999581,0 days 00:00:01.180782,0.048218369232391575,0.0003041107034541366,,0.7434623649127803,,,,PRUNED
497,0.7434823585344764,2023-07-10 14:40:09.309640,2023-07-10 14:40:10.434509,0 days 00:00:01.124869,0.10502106473499313,0.0003239157055593628,,0.7434823585344764,,,,PRUNED
207,0.7435886756737571,2023-07-10 14:32:29.034817,2023-07-10 14:32:30.196319,0 days 00:00:01.161502,0.17973898852628767,0.00038481454398083605,,0.7435886756737571,,,,PRUNED
412,0.7436605943790148,2023-07-10 14:38:05.760667,2023-07-10 14:38:07.044808,0 days 00:00:01.284141,0.5341265947878319,6.462854865798587e-05,,0.7436605943790148,,,,PRUNED
494,0.7436772640760474,2023-07-10 14:40:05.490929,2023-07-10 14:40:06.614660,0 days 00:00:01.123731,0.18647905015638508,0.0002601552081404956,,0.7436772640760474,,,,PRUNED
481,0.7437021197196921,2023-07-10 14:39:46.647036,2023-07-10 14:39:47.768163,0 days 00:00:01.121127,0.14841459153934922,0.0010927561468975582,,0.7437021197196921,,,,PRUNED
46,0.7437194264303781,2023-07-10 14:27:14.550702,2023-07-10 14:27:15.676565,0 days 00:00:01.125863,0.2525968398679921,0.00015468803993623365,,0.7437194264303781,,,,PRUNED
233,0.7437346364314529,2023-07-10 14:33:15.892157,2023-07-10 14:33:17.110383,0 days 00:00:01.218226,0.09378409757535644,0.00028546020924770577,,0.7437346364314529,,,,PRUNED
247,0.7437597730064046,2023-07-10 14:33:40.597067,2023-07-10 14:33:41.759808,0 days 00:00:01.162741,0.1574461475882418,0.00030277210871332077,,0.7437597730064046,,,,PRUNED
404,0.7437967164446109,2023-07-10 14:37:52.894168,2023-07-10 14:37:54.093350,0 days 00:00:01.199182,0.24746053477819346,0.0004343942596670597,,0.7437967164446109,,,,PRUNED
437,0.7438420295674998,2023-07-10 14:38:42.627847,2023-07-10 14:38:43.777232,0 days 00:00:01.149385,0.3858654088279866,0.0010160779171281664,,0.7438420295674998,,,,PRUNED
349,0.7438521115040173,2023-07-10 14:36:31.296588,2023-07-10 14:36:32.411664,0 days 00:00:01.115076,0.16770200997791346,0.00038169420357923596,,0.7438521115040173,,,,PRUNED
90,0.743887359106168,2023-07-10 14:28:31.900585,2023-07-10 14:28:33.077408,0 days 00:00:01.176823,0.2744080630150274,0.00041492662609551943,,0.743887359106168,,,,PRUNED
443,0.7438970794737394,2023-07-10 14:38:49.887597,2023-07-10 14:38:51.048715,0 days 00:00:01.161118,0.2989519219103162,0.00031721846511671557,,0.7438970794737394,,,,PRUNED
